time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-23T20:24:00.200Z,36.733,-121.4113,6.1,2.8,Md,62,28.8,0.01796631,0.13,nc,nc72282411,2014-08-25T06:28:09.744Z,"9km SSW of Ridgemark, California",earthquake
2014-08-23T20:05:17.930Z,32.6965,47.7892,10.25,5.4,mb,,40,6.801,0.83,us,usb000s5qt,2014-08-24T08:35:26.612Z,"47km SE of Abdanan, Iran",earthquake
2014-08-23T19:58:43.920Z,8.4275,93.4486,85.8,4.7,mb,,59,3.282,0.83,us,usb000s5qq,2014-08-24T04:01:29.967Z,"52km NNE of Mohean, India",earthquake
2014-08-23T19:54:02.390Z,0.9798,97.0418,10,4.6,mb,,183,0.623,1.2,us,usb000s5qn,2014-08-24T03:56:55.176Z,"181km SSE of Sinabang, Indonesia",earthquake
2014-08-23T19:45:10.000Z,63.9563,-147.2298,1,2.9,ml,,,,0.89,ak,ak11365809,2014-08-24T03:47:58.090Z,"65km SSW of Salcha, Alaska",earthquake
2014-08-23T19:31:56.660Z,0.8917,97.1081,10,4.6,mb,,148,0.621,0.84,us,usb000s5qh,2014-08-24T03:34:34.549Z,"193km SSE of Sinabang, Indonesia",earthquake
2014-08-23T19:22:52.300Z,0.9509,97.0382,10,4.6,mb,,197,0.641,1.05,us,usb000s5qf,2014-08-24T03:25:31.797Z,"184km SSE of Sinabang, Indonesia",earthquake
2014-08-23T18:33:06.420Z,64.7924,-17.3799,2.46,4.7,mb,,91,1.692,0.91,us,usb000s5q5,2014-08-24T02:36:15.844Z,"104km SSE of Akureyri, Iceland",earthquake
2014-08-23T18:01:56.750Z,27.4604,143.0003,34.34,4.6,mb,,144,0.811,0.54,us,usb000s5q7,2014-08-24T02:05:48.058Z,"88km ENE of Chichi-shima, Japan",earthquake
2014-08-23T17:48:55.000Z,62.6179,-149.045,61,2.9,ml,,,,0.59,ak,ak11365721,2014-08-24T01:52:47.300Z,"63km ENE of Talkeetna, Alaska",earthquake
2014-08-23T17:42:22.120Z,34.2531667,-116.7633333,3.22,2.9,ml,110,19,0.1085,0.21,ci,ci37261000,2014-08-25T18:00:45.945Z,"7km E of Big Bear City, California",earthquake
2014-08-23T17:37:26.000Z,59.7949,-152.4009,79.5,2.6,ml,,,,0.69,ak,ak11365708,2014-08-24T01:41:19.912Z,"32km W of Anchor Point, Alaska",earthquake
2014-08-23T16:34:55.240Z,41.8997,-119.6338,0,2.57,ml,3,128.69,0.498,0.09,nn,nn00457027,2014-08-24T03:45:04.291Z,"67km ESE of Lakeview, Oregon",earthquake
2014-08-23T16:25:10.400Z,18.8448,-64.554,8,2.9,Md,3,313.2,0.42849639,0.18,pr,pr14235005,2014-08-23T20:39:29.585Z,"47km N of Road Town, British Virgin Islands",earthquake
2014-08-23T15:33:20.000Z,51.7563,178.3745,104.1,2.9,ml,,,,0.74,ak,ak11365637,2014-08-24T00:03:00.614Z,"23km SSW of Little Sitkin Island, Alaska",earthquake
2014-08-23T14:24:37.548Z,41.8971,-119.6293,1.5761,3.09,ml,4,122.99,0.502,0.0186,nn,nn00456999,2014-08-24T03:56:30.519Z,"69km SE of Lakeview, Oregon",earthquake
2014-08-23T14:04:24.000Z,64.665,-17.505,8,4.2,mb,,,,2.13,us,usb000s5qr,2014-08-23T22:07:06.856Z,"116km SSE of Akureyri, Iceland",earthquake
2014-08-23T13:24:34.000Z,60.0529,-140.8977,2.8,3.2,ml,,,,0.75,ak,ak11365525,2014-08-23T23:38:33.016Z,"85km E of Cape Yakataga, Alaska",earthquake
2014-08-23T12:46:14.000Z,52.5331,-166.9198,47,2.6,ml,,,,0.78,ak,ak11365471,2014-08-23T23:26:18.582Z,"139km ESE of Nikolski, Alaska",earthquake
2014-08-23T11:22:12.870Z,36.688,-97.9165,5.71,3.2,mb_lg,,89,0.19,0.22,us,usb000s5ne,2014-08-25T11:30:31.156Z,"20km SW of Medford, Oklahoma",earthquake
2014-08-23T11:06:34.080Z,35.8375,-97.4343,2.37,3.2,mb_lg,,68,0.044,0.34,us,usb000s5n7,2014-08-25T11:28:26.277Z,"4km S of Guthrie, Oklahoma",earthquake
2014-08-23T10:55:02.000Z,61.4837,-149.8818,31.6,3.1,ml,,,,0.68,ak,ak11365396,2014-08-23T22:59:07.158Z,"5km SE of Big Lake, Alaska",earthquake
